Master Reel Width
2540
Grade(g/m2)
200
Thickness(microm)
260
FabReq Width(mm) Length(mm) Weigth(Kg) Toler. DiamExt DiamInt(mm)
  4890   890      860   2000   0.2           0          0       0      0
  4891   680      930   2806   0.2           0          0       0      0
  4892   844      717   9800   0.1           0          0       0      0
  4893   670      830   5489   0.1           0          0       0      0
  4894  1392      999   3365  0.15           0          0       0      0
  4895  1062      968  12267  0.08           0          0       0      0
  4897   937     1082   3007  0.15           0          0       0      0
  4900  1007      776   2815   0.2           0          0       0      0
  4902   949      791   1815   0.2           0          0       0      0
  4909   550        0   3500  0.15        1000       110      100      0
  4910   480        0   2800   0.2        1000       1100     100      0
  4911   500        0   1000   0.2        1000       1050     100      0
  4912   630        0   1300   0.2        1000       1050     100      0
