Master Reel Width
2540
Grade(g/m2)
325
Thickness(microm)
470
FabReq Width(mm) Length(mm) Weigth(Kg) Toler. DiamExt DiamInt(mm)
    2     420     620   3003   0.15          0          0       0      0
    5     527     720   2124    0.2          0          0       0      0
   25     640     850   5150    0.1          0          0       0      0
   27     540    1045   3002   0.15          0          0       0      0
   28     450    1000   3024   0.15          0          0       0      0
   29     527     650   5001    0.1          0          0       0      0
   30     465     650  16003   0.08          0          0       0      0
   31     720    1020   3012   0.15          0          0       0      0
   32     420     620   5009    0.1          0          0       0      0
   33     540    1045   5016    0.1          0          0       0      0
   34     465     650  20014   0.06          0          0       0      0
   35     695     910  24000   0.06          0          0       0      0
   36     695     910  24000   0.06          0          0       0      0
