Master Reel Width
2540
Grade(g/m2)
275
Thickness(microm)
260
FabReq Width(mm) Length(mm) Weigth(Kg) Toler. DiamExt DiamInt(mm)
  1058     720   1020   3002    0,1          0          0       0      0
  2000     440    890   3400   0,15          0          0       0      0
  2001     700   1000  19800   0,08          0          0       0      0
  2002     570    800   6400    0,1          0          0       0      0
  2003     700   1000   1000    0,2          0          0       0      0
  2004     595    800   3400   0,15          0          0       0      0
  2005     640    900   3015   0,15          0          0       0      0
  2007     520    785   3200   0,15          0          0       0      0
  5006     720   1020   3002   0,15          0          0       0      0
  5007     350      0   2000    0,2       1000       1100     200      0
  4180     700      0   4200  0,075       1200       1300     200      0
  4181    1000      0   3000    0,1       1200       1300     200      0
  4184     750   1050   3000    0,1          0          0       0      0
  4185    1050    750   3000    0,1          0          0       0      0
  4194     750      0   2350    0,1       1300       1350     300      0
   951     720    560   5000  0,075          0          0       0      0
     4    1080      0    102    0,1          0          0       0      0
     6     700      0   1200    0,1        650        700     300      0
  1001     690      0  11000   0,04       1000       1100     150      0
  1002     660      0   6200   0,05       1000       1100     150      0
  1003     735      0   5900  0,075       1000       1050     150      0
     2     420    620   3003   0,15          0          0       0      0
     5     527    720   2124    0,2          0          0       0      0
    25     640    850   5150    0,1          0          0       0      0
    27     540   1045   3002   0,15          0          0       0      0
    28     450   1000   3024   0,15          0          0       0      0
    29     527    650   5001    0,1          0          0       0      0
    30     465    650  16003   0,08          0          0       0      0
    31     720   1020   3012   0,15          0          0       0      0
    32     420    620   5009    0,1          0          0       0      0

