Master Reel Width
2540
Grade(g/m2)
325
Thickness(microm)
260
FabReq Width(mm) Length(mm) Weigth(Kg) Toler. DiamExt DiamInt(mm)
   880    1000    650  10166   0,04          0          0       0      0
  1340     640    900   2000   0,08          0          0       0      2
  1440     440    650   5000   0,07          0          0       0      3
  1750     500    650   5980   0,05          0          0       0      0
  1000     560   1200   1850    0,2          0          0       0      0
  1001     680    540   5425    0,1          0          0       0      0
  1002     450    980   8900    0,1          0          0       0      0
  1003     620      0   5900    0,2       1000       1050     120      0
  1017     600      0   5100    0,1          0          0     150      0
  1028     850      0   2266    0,2          0          0     300      0
  1029    1050      0   8000    0,1          0          0     300      0
  1030     750   1050   1400    0,2          0          0       0      0
  1031    1000    700   6000    0,1          0          0       0      0
  1000     650      0  10000   0,05       1200       1300     200      0
  1100    1050      0  10000   0,05       1200       1300     200      0
  1200     500    700  10100   0,05          0          0       0      0
  4001     500    650  40000  0,025          0          0       0      0
  4004    1300      0   8000    0,1       1200       1250      70      0
  4005     550      0   8000    0,1       1200       1250      70      0
  4732     750      0   2000    0,2       1300       1350     300      0
100000     500   1000   7500   0,08          0          0       0      0
100001     600   1020   2000   0,08          0          0       0      0
100002     400      0   5000   0,15          0          0       0      0
100003     700      0   2000    0,2          0          0       0      0
100004     900    900   5000    0,1          0          0       0      0
100000     500   1000  10000   0,08          0          0       0      0
100001     600   1020  10000   0,08          0          0       0      0
100002     400    560   5000   0,15          0          0       0      0
100003     700    590   2000    0,2          0          0       0      0
100004     900    900   8000    0,1          0          0       0      0

