Master Reel Width
2540
Grade(g/m2)
300
Thickness(microm)
260
FabReq Width(mm) Length(mm) Weigth(Kg) Toler. DiamExt DiamInt(mm)
  1058     720   1020   3002    0,1          0          0       0      0
  2000     440    890   3400   0,15          0          0       0      0
  2001     700   1000  19800   0,08          0          0       0      0
  2002     570    800   6400    0,1          0          0       0      0
  2003     700   1000   1000    0,2          0          0       0      0
  2004     595    800   3400   0,15          0          0       0      0
  2005     640    900   3015   0,15          0          0       0      0
  2007     520    785   3200   0,15          0          0       0      0
    36     695    910  24000   0,06          0          0       0      0
  2000     420    620   3003    0,1          0          0       0      0
  2001     527    720   2124    0,1          0          0       0      0
  2002     640    850   5015  0,075          0          0       0      0
  2003     540   1045   3002    0,1          0          0       0      0
  2004     450   1000   3024    0,1          0          0       0      0
  2005     527    650   5001  0,075          0          0       0      0
  2007     720   1020   3012    0,1          0          0       0      0
  5006     465    650  16003   0,04          0          0       0      0
  5007     420    620   5009  0,075          0          0       0      0
  5008     540   1045   5016  0,075          0          0       0      0
  5009     465    650  20014   0,04          0          0       0      0
  5010     695    910  24000   0,03          0          0       0      0
  5011     695    910  24000   0,03          0          0       0      0
   558     570    700   2000    0,2          0          0       0      0
   559     600    730  11000   0,08          0          0       0      0
   560     625   1000   1500    0,2          0          0       0      0
   562     710    770   2000    0,2          0          0       0      0
   563     840   1000   4000   0,15          0          0       0      0
   565     555    470  12000   0,08          0          0       0      0
  9097     750      0   3000   0,15          0          0       0      0
  9098    1050      0   3000   0,15          0          0       0      0

