Master Reel Width
2540
Grade(g/m2)
200
Thickness(microm)
260
FabReq Width(mm) Length(mm) Weigth(Kg) Toler. DiamExt DiamInt(mm)
   880    1000    650  10166   0,04          0          0       0      0
  1340     640    900   2000   0,08          0          0       0      2
  1440     440    650   5000   0,07          0          0       0      3
  1750     500    650   5980   0,05          0          0       0      0
  1000     560   1200   1850    0,2          0          0       0      0
  1001     680    540   5425    0,1          0          0       0      0
  1002     450    980   8900    0,1          0          0       0      0
  1003     620      0   5900    0,2       1000       1050     120      0
  1004     650      0    300    0,2       1600       1650     150      0
  1005    1000      0    500    0,2       1200       1250     200      0
  1006     750      0   1200    0,2       1600       1700     150      0
  3758     787   1092   1315   0,08          0          0       0      0
  3759     500    650    418   0,08          0          0       0      0
  3848     500    650   4300   0,07          0          0       0      0
  6950    1220    940  15000   0,08          0          0       0      0
  6961     870   1260   8000    0,1          0          0       0      0
  6962     700   1000   3200   0,15          0          0       0      0
  4890     890    860   2000    0,2          0          0       0      0
  4891     680    930   2806    0,2          0          0       0      0
  4892     844    717   9800    0,1          0          0       0      0
  4893     670    830   5489    0,1          0          0       0      0
  4894    1392    999   3365   0,15          0          0       0      0
  4895     1062   968  12267   0,08          0          0       0      0
  4897     937   1082   3007   0,15          0          0       0      0
  4900    1007    776   2815    0,2          0          0       0      0
  4902     949    791   1815    0,2          0          0       0      0
  4909     550      0   3500   0,15       1000       1100     100      0
  4910     480      0   2800    0,2       1000       1100     100      0
  4911     500      0   1000    0,2       1000       1050     100      0
  4912     630      0   1300    0,2       1000       1050     100      0

