Master Reel Width
2540
Grade(g/m2)
400
Thickness(microm)
260
FabReq Width(mm) Length(mm) Weigth(Kg) Toler. DiamExt DiamInt(mm)
  4004     300      0   8000    0,1       1200       1250      70      0
  4005     550      0   8000    0,1       1200       1250      70      0
100001     600   1020   2000   0,08          0          0       0      0
100002     400      0   5000   0,15          0          0       0      0
100003     700      0   2000    0,2          0          0       0      0
100003     700    590   2000    0,2          0          0       0      0
100004     900    900   8000    0,1          0          0       0      0
   955     700      0   5000  0,075       1200       1250     300      0
  1121     600    650   3000    0,1          0          0       0      0
  1122     750      0   5000  0,075       1300       1350     200      0
  2000     440    890   3400   0,15          0          0       0      0
  2001     700   1000  19800   0,08          0          0       0      0
  2005     640    900   3015   0,15          0          0       0      0
  2007     520    785   3200   0,15          0          0       0      0
  1011     660    925   2000    0,1          0          0       0      0
  1012     660    980   3000    0,1          0          0       0      0
  1013     680   1020   5000  0,075          0          0       0      0
   559     600    730   1400   0,07          0          0       0      0
  9098    1050      0   3000   0,07        600        650     300      0
  9109     555    470   5100  0,055          0          0       0      0
  1001     690      0  11000   0,04       1000       1100     150      0
  1002     660      0   6200   0,05       1000       1100     150      0
  1003     735      0   5900  0,075       1000       1050     150      0
    27     540   1045   3002   0,15          0          0       0      0
    28     450   1000   3024   0,15          0          0       0      0
    31     720   1020   3012   0,15          0          0       0      0
    32     420    620   5009    0,1          0          0       0      0
    33     540   1045   5016    0,1          0          0       0      0
    34     465    650  20014   0,06          0          0       0      0
    35     695    910  24000   0,06          0          0       0      0
       
