Master Reel Width
2540
Grade(g/m2)
425
Thickness(microm)
260
FabReq Width(mm) Length(mm) Weigth(Kg) Toler. DiamExt DiamInt(mm)
  4892     844    717   9800    0,1          0          0       0      0
  4894    1392    999   3365   0,15          0          0       0      0
  4897     937   1082   3007   0,15          0          0       0      0
  4902     949    791   1815    0,2          0          0       0      0
  4910     480      0   2800    0,2       1000       1100     100      0
  4912     630      0   1300    0,2       1000       1050     100      0
   983     600    700   5000  0,075          0          0       0      0
   985    1000    700    900    0,1          0          0       0      0
  1101     500    700   6500   0,05          0          0       0      0
  1559     480      0   1500    0,2       1100       1150     150      0
  1609     310      0  15000   0,08       1100       1150     150      3
100000     500   1000  10000   0,08          0          0       0      0
100002     400    560   5000   0,15          0          0       0      0
100004     900    900   8000    0,1          0          0       0      0
  1121     600    650   3000    0,1          0          0       0      0
  1052     700   1000  19800   0,04          0          0       0      0
  1054     700   1000   1000    0,1          0          0       0      0
  1056     640    900   3015    0,1          0          0       0      0
  1058     720   1020   3002    0,1          0          0       0      0
  2001     700   1000  19800   0,08          0          0       0      0
  2003     700   1000   1000    0,2          0          0       0      0
  2005     640    900   3015   0,15          0          0       0      0
  5006     720   1020   3002   0,15          0          0       0      0
  4180     700      0   4200  0,075       1200       1300     200      0
  4184     750   1050   3000    0,1          0          0       0      0
  4194     750      0   2350    0,1       1300       1350     300      0
   992     520    720   2000    0,1          0          0       0      0
  1009     570    980   2000    0,1          0          0       0      0
  1011     660    925   2000    0,1          0          0       0      0
  1013     680   1020   5000  0,075          0          0       0      0
