Master Reel Width
2540
Grade(g/m2)
250
Thickness(microm)
260
FabReq Width(mm) Length(mm) Weigth(Kg) Toler. DiamExt DiamInt(mm)
  1018     700      0   5600    0.1          0          0     150      0
  1019     950    700   6300    0,1          0          0       0      0
  1020     710      0   5000   0,15          0          0     150      0
  1021     900      0   5150    0,1          0          0     250      0
  1022     650      0   1850    0,2          0          0     250      0
  1023     800      0   4000   0,15          0          0     250      0
  1024    1000   1400   4700   0,15          0          0       0      0
  1025     700   1000  15600   0,08          0          0       0      0
  1026     750      0   7950    0,1          0          0     300      0
  1027     950      0   2500    0,2          0          0     300      0
  1028     850      0   2266    0,2          0          0     300      0
  1029    1050      0   8000    0,1          0          0     300      0
  1030     750   1050   1400    0,2          0          0       0      0
  1031    1000    700   6000    0,1          0          0       0      0
  1000     650      0  10000   0,05       1200       1300     200      0
  1100    1050      0  10000   0,05       1200       1300     200      0
  1200     500    700  10100   0,05          0          0       0      0
100001     600   1020  10000   0,08          0          0       0      0
100002     400    560   5000   0,15          0          0       0      0
100003     700    590   2000    0,2          0          0       0      0
100004     900    900   8000    0,1          0          0       0      0
   955     700      0   5000  0,075       1200       1250     300      0
  1121     600    650   3000    0,1          0          0       0      0
  1122     750      0   5000  0,075       1300       1350     200      0
  1052     700   1000  19800   0,04          0          0       0      0
  1053     570    800   6400   0,05          0          0       0      0
  1054     700   1000   1000    0,1          0          0       0      0
  1055     595    800   3400    0,1          0          0       0      0
  1056     640    900   3015    0,1          0          0       0      0
  1057     520    785   3200    0,1          0          0       0      0

